provinsi,balita_mr_2020
ACEH,22.88
SUMATERA UTARA,21.37
SUMATERA BARAT,19.19
RIAU,18.24
JAMBI,19.98
SUMATERA SELATAN,19.62
BENGKULU,23.38
LAMPUNG,18.3
KEPULAUAN BANGKA BELITUNG,19.67
KEPULAUAN RIAU,15.43
DKI JAKARTA,12.02
JAWA BARAT,15.91
JAWA TENGAH,14.81
DI YOGYAKARTA,12.62
JAWA TIMUR,15.64
BANTEN,16.15
BALI,15.37
NUSA TENGGARA BARAT,29.37
NUSA TENGGARA TIMUR,30.72
KALIMANTAN BARAT,20.44
KALIMANTAN TENGAH,21.19
KALIMANTAN SELATAN,20.1
KALIMANTAN TIMUR,18.04
KALIMANTAN UTARA,19.43
SULAWESI UTARA,20.4
SULAWESI TENGAH,33.44
SULAWESI SELATAN,21.49
SULAWESI TENGGARA,27.93
GORONTALO,35.85
SULAWESI BARAT,35.49
MALUKU,36.54
MALUKU UTARA,34.58
PAPUA BARAT,47.23
PAPUA,49.04
INDONESIA,19.83
